 0.068,-0.067,0.988,-8.47,-4.90,-0.59
 0.050,-0.062,0.992,-4.88,9.58,-3.64
 0.049,-0.062,1.002,-0.74,11.72,-4.44
 0.018,-0.048,0.993,-3.44,12.68,-10.91
 0.024,-0.064,0.994,0.40,10.01,-6.11
 0.013,-0.066,0.996,-3.20,3.77,-4.90
 0.009,-0.062,0.996,-0.90,5.94,-4.20
 0.001,-0.063,0.996,-0.44,7.97,-0.00
 -0.022,-0.053,1.002,-3.26,8.23,11.61
 -0.035,-0.054,1.012,1.50,20.62,41.15
 -0.039,-0.069,0.967,2.29,43.40,66.60
 -0.080,-0.061,1.015,2.60,26.46,73.03
 -0.063,-0.055,1.042,0.99,7.45,71.39
 -0.088,-0.027,0.981,4.31,-1.31,52.89
 -0.070,-0.046,0.997,-2.22,-4.46,42.19
 -0.097,-0.038,0.990,-5.99,-4.88,40.07
 -0.074,-0.050,0.993,-5.87,-5.44,37.89
 -0.075,-0.023,0.992,-4.50,-4.14,46.84
 -0.087,-0.041,0.992,-3.10,-2.83,52.65
 -0.080,-0.042,1.001,-4.88,0.96,49.86
 -0.073,-0.041,1.003,-4.45,4.77,45.57
 -0.072,-0.042,1.006,-3.02,5.01,28.74
 -0.084,-0.040,0.995,-0.68,3.24,21.96
 -0.114,-0.032,0.987,0.37,4.79,15.30
 -0.117,-0.038,0.987,1.15,3.14,18.11
 -0.088,-0.034,0.992,4.64,1.71,11.47
 -0.096,-0.043,0.991,0.73,1.71,4.78
 -0.111,-0.050,0.978,-3.75,1.30,4.47
 -0.099,-0.071,0.987,-23.04,-0.39,-5.21
 -0.089,-0.086,1.009,-40.41,-13.44,-11.56
 -0.028,-0.153,0.993,-47.80,-44.03,5.43
 -0.031,-0.192,0.977,-62.34,-13.71,1.65
 -0.012,-0.243,0.957,-61.60,2.57,-4.89
 -0.020,-0.382,0.944,-63.77,6.45,-18.15
 -0.052,-0.339,0.955,-31.70,16.74,-8.70
 -0.061,-0.346,0.960,-3.97,18.43,-7.98
 -0.058,-0.310,0.987,28.79,-3.72,-11.02
 -0.030,-0.276,0.984,69.03,-22.63,-11.83
 -0.029,-0.192,0.979,81.43,-18.99,-15.86
 -0.001,-0.146,0.975,78.98,-10.37,-6.47
 0.014,-0.066,0.990,82.03,6.56,3.57
 -0.005,0.037,0.998,90.31,14.77,-9.31
 -0.011,-0.003,0.960,58.43,11.66,-23.67
 -0.051,0.118,0.956,28.56,8.10,-19.13
 -0.048,0.126,0.994,13.52,3.58,-11.56
